sector_id,zona_altitud,centro_lat,centro_lon,altitud_promedio,altitud_minima,altitud_maxima,ubicacion_id
-177821_-631817,BAJA,-17.78214,-63.18172,442.35,442.2,442.8,3677
-177821_-631846,BAJA,-17.782106,-63.184625,443.2,443.2,443.2,3678
-177821_-631863,BAJA,-17.782122,-63.18632,434.7,434.7,434.7,3679
-177821_-631865,BAJA,-17.782127,-63.186575,443.0,443.0,443.0,3680
-177821_-631874,BAJA,-17.782148,-63.187455,438.6,438.6,438.6,3681
-177821_-631879,BAJA,-17.782149,-63.187931,436.2,436.2,436.2,3682
-177821_-631880,BAJA,-17.782149,-63.188008,436.2,436.2,436.2,3683
-177821_-631881,BAJA,-17.782136,-63.188113,434.7,434.7,434.7,3684
-177821_-631882,BAJA,-17.782136,-63.188228,435.9,435.9,435.9,3685
-177821_-631883,BAJA,-17.78213,-63.188372,435.8,435.8,435.8,3686
-177821_-631884,BAJA,-17.782125,-63.188494,435.7,435.7,435.7,3687
-177821_-631886,BAJA,-17.782157,-63.188647,435.38,435.2,435.8,3688
-177821_-631887,BAJA,-17.782177,-63.188757,435.2,435.2,435.2,3689
-177821_-631888,BAJA,-17.782152,-63.188853,435.2,435.2,435.2,3690
-177821_-631889,BAJA,-17.782177,-63.188931,435.2,435.2,435.2,3691
-177821_-631891,BAJA,-17.782159,-63.189149,435.07,434.8,435.2,3692
-177821_-631901,BAJA,-17.782139,-63.190141,434.8,434.8,434.8,3693
-177821_-631909,BAJA,-17.782131,-63.190954,434.4,434.4,434.4,3694
-177822_-631636,BAJA,-17.78225,-63.163643,433.4,433.4,433.4,3695
-177822_-631638,BAJA,-17.782252,-63.163823,433.3,433.3,433.3,3696
-177822_-631655,BAJA,-17.782295,-63.16555,435.4,435.4,435.4,3697
-177822_-631815,BAJA,-17.782204,-63.181529,442.4,442.4,442.4,3698
-177822_-631816,BAJA,-17.782216,-63.181652,442.5,442.5,442.5,3699
-177822_-631871,BAJA,-17.782277,-63.187197,435.7,435.7,435.7,3700
-177822_-631887,BAJA,-17.782259,-63.188772,435.2,435.2,435.2,3701
